reporting_organisation,funding_source,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,location_pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,distribution_date,comments,month_of_activity,abbreviation,implementing_partner,activity,source
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Thanwayet Al Banat,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,44,11.880000000000003,220,28.6,59.400000000000006,61.60000000000001,70.4,NA,NA,220,NA,NA,33,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,6600,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Maadraset Al Sharia,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,108,29.160000000000004,540,70.2,145.8,151.20000000000002,172.8,NA,NA,540,NA,NA,81,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,16200,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Al Kliyeh,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,156,42.120000000000005,780,101.4,210.60000000000002,218.40000000000003,249.6,NA,NA,780,NA,NA,117,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,23400,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Al Mulhak Mustafa Wadah,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,91,24.570000000000004,455,59.15,122.85000000000001,127.4,145.6,NA,NA,455,NA,NA,69,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,13650,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Iwaa Al Mazraa,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,84,22.680000000000003,420,54.6,113.4,117.60000000000001,134.4,NA,NA,420,NA,NA,63,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,12600,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Al Rahma,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,71,19.17,355,46.15,95.85000000000001,99.4,113.60000000000001,NA,NA,355,NA,NA,53,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,10650,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Al Ziyara,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,77,20.790000000000003,385,50.050000000000004,103.95,107.80000000000001,123.2,NA,NA,385,NA,NA,58,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,11550,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Madraset Aghgale,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,49,13.230000000000002,245,31.85,66.15,68.60000000000001,78.4,NA,NA,245,NA,NA,37,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,7350,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Sleman Al Kanouni,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,30,8.1,150,19.5,40.5,42.00000000000001,48,NA,NA,150,NA,NA,23,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,4500,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Al Jabl,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,42,11.340000000000002,210,27.3,56.7,58.800000000000004,67.2,NA,NA,210,NA,NA,32,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,6300,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,البويضة,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,29,7.830000000000002,145,18.85,39.150000000000006,40.6,46.4,NA,NA,145,NA,NA,22,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,4350,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,مقابل الشؤون,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,13,3.5100000000000002,65,8.450000000000001,17.55,18.200000000000003,20.8,NA,NA,65,NA,NA,10,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,1950,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,حمزة 1,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,21,5.670000000000001,105,13.65,28.35,29.400000000000002,33.6,NA,NA,105,NA,NA,16,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,3150,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,حمزة 2,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,19,5.130000000000001,95,12.35,25.650000000000002,26.6,30.400000000000002,NA,NA,95,NA,NA,14,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,2850,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,الحمدو,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,23,6.210000000000001,115,14.950000000000001,31.05,32.2,36.800000000000004,NA,NA,115,NA,NA,17,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,3450,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,الايمان 1,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,69,18.630000000000003,345,44.85,93.15,96.60000000000001,110.4,NA,NA,345,NA,NA,52,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,10350,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,محلق جنديريس,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,91,24.570000000000004,455,59.15,122.85000000000001,127.4,145.6,NA,NA,455,NA,NA,68,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,13650,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,اجنادين,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,83,22.410000000000004,415,53.95,112.05000000000001,116.20000000000002,132.8,NA,NA,415,NA,NA,62,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,12450,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,معصرة الفلاحين,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,27,7.290000000000001,135,17.55,36.45,37.800000000000004,43.2,NA,NA,135,NA,NA,20,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,4050,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,Kafr Abid,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,22,5.940000000000001,110,14.3,29.700000000000003,30.800000000000004,35.2,NA,NA,110,NA,NA,17,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,3300,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
NA,BHA,Completed,Aleppo,Afrin,Jandairis,Jandairis,NA,NA,SY02,SY0203,SY020302,C1426,NA,NA,كويت الرحمة,camp,36.392488,36.689563,Multipurpose - One time,Earthquake,57,15.39,285,37.050000000000004,76.95,79.80000000000001,91.2,NA,NA,285,NA,NA,43,NA,NA,Conditional - Other,Voucher - Unrestricted,NA,Paper voucher,USD,150,NA,1,1,150,8550,Vulnerability-based,2023-03-01,2023-03-25,NA,2023-03-31,SHAFAK,Shafak Organization (SO),Cash Response,4ws
