hub,intervention_type,donor,report_date,distribution_date,planned_implemented,implementing_partner,activity,regularity,duration_assistance,quantity,unit,families,beneficiaries,rapid_assessment,governorate,district,sub_district,community,village_camps,camp_name,reception_centre_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,longitude_x,latitude_y,location_pcode,abbreviation
NWS,Earthquake,ECHO,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,One Off Distribution,30,150,USD,8,40,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Camp,الساروت - Al sarout,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,ECHO,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,One Off Distribution,30,150,USD,28,140,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Camp,مخيم طلحة - Talha Camp,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,ECHO,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,One Off Distribution,30,150,USD,92,460,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Camp,جب ركية - Jub Rakeiah,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,ECHO,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,One Off Distribution,30,150,USD,135,675,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Camp,مخيم الايواء - Euaa camp,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,ECHO,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,24,120,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Village,NA,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,ECHO,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,32,160,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Village,NA,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,ECHO,2023-02-09T00:00:00Z,2023-02-09T00:00:00Z,Implemented,Agency for Technical Cooperation and Development (ACTED),Cash Response,NA,30,150,USD,110,550,Yes,Aleppo,A'zaz,A'zaz,Azaz,In the Village,NA,NA,SY02,SY0204,SY020400,C1564,37.04316,36.584872,NA,ACTED
NWS,Earthquake,BHA,2023-02-10T00:00:00Z,2023-02-10T00:00:00Z,Implemented,People in Need (PIN),Cash Response,NA,30,150,USD,777,4034,N/A,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,36.828382,36.137884,NA,PIN
NWS,Earthquake,BHA II,2023-02-23T00:00:00Z,2023-02-10T00:00:00Z,Implemented,People in Need (PIN),Cash Response,One Off Distribution,1,150,USD,777,3885,Yes,Aleppo,Jebel Saman,Atareb,Atareb,In the Village,NA,NA,SY02,SY0200,SY020001,C1022,36.828382,36.137884,NA,PIN
NWS,Earthquake,BHA II,2023-02-23T00:00:00Z,2023-02-10T00:00:00Z,Implemented,People in Need (PIN),Cash Response,One Off Distribution,1,150,USD,394,1970,Yes,Idleb,Harim,Dana,Sarmada,In the Village,NA,NA,SY07,SY0703,SY070301,C4121,36.723929,36.186604,NA,PIN
NWS,Earthquake,Global Communites,2023-02-09T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,120,USD,149,745,Yes,Idleb,Idleb,Idleb,Idleb,In the Village,NA,NA,SY07,SY0700,SY070000,C3871,36.635276,35.929008,NA,IYD
NWS,Earthquake,Global Communites,2023-02-09T00:00:00Z,2023-02-10T00:00:00Z,Implemented,Uluslararasi Insani Yardimlasma Dernegi (IYD),Cash Response,NA,30,120,USD,201,1005,Yes,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,In the Village,NA,NA,SY07,SY0704,SY070400,C4199,36.314953,35.814181,NA,IYD
