distribution_date,implementing_partner,abbreviation,partner_code,project_status,currency,transfer_value,families,beneficiaries,governorate,district,sub_district,community,admin1pcode,admin2pcode,admin3pcode,admin4pcode,village_camps,longitude_x,latitude_y,total_usd,response_type
2023-02-09T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,8,40,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,In the Camp,37.04316,36.584872,1200,Earthquake
2023-02-09T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,28,140,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,In the Camp,37.04316,36.584872,4200,Earthquake
2023-02-09T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,92,460,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,In the Camp,37.04316,36.584872,13800,Earthquake
2023-02-09T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,135,675,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,In the Camp,37.04316,36.584872,20250,Earthquake
2023-02-09T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,24,120,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,In the Village,37.04316,36.584872,3600,Earthquake
2023-02-09T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,32,160,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,In the Village,37.04316,36.584872,4800,Earthquake
2023-02-09T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,110,550,Aleppo,A'zaz,A'zaz,Azaz,SY02,SY0204,SY020400,C1564,In the Village,37.04316,36.584872,16500,Earthquake
2023-02-10T00:00:00Z,Uluslararasi Insani Yardimlasma Dernegi (IYD),IYD,CBRTWG-013,Completed,USD,120,149,745,Idleb,Idleb,Idleb,Idleb,SY07,SY0700,SY070000,C3871,In the Village,36.635276,35.929008,17880,Earthquake
2023-02-10T00:00:00Z,Uluslararasi Insani Yardimlasma Dernegi (IYD),IYD,CBRTWG-013,Completed,USD,120,201,1005,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Jisr-Ash-Shugur,SY07,SY0704,SY070400,C4199,In the Village,36.314953,35.814181,24120,Earthquake
2023-02-10T00:00:00Z,Norwegian Refugee Council (NRC),NRC,CBRTWG-032,Completed,USD,150,263,1315,Idleb,Harim,Harim,Harim,SY07,SY0703,SY070300,C4115,In the Village,36.520746,36.212594,39450,Earthquake
2023-02-10T00:00:00Z,Bahar Organization (BO),BO,CBRTWG-038,Completed,USD,150,2400,12000,Aleppo,Afrin,Jandairis,Jandairis,SY02,SY0203,SY020302,C1426,In the Village,36.689563,36.392488,360000,Earthquake
2023-02-11T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,93,510,Idleb,Harim,Dana,Qah,SY07,SY0703,SY070301,C4131,In the Camp,36.725165,36.296273,13950,Earthquake
2023-02-11T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,107,579,Aleppo,Jebel Saman,Atareb,Atareb,SY02,SY0200,SY020001,C1022,In the Camp,36.828382,36.137884,16050,Earthquake
2023-02-11T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,68,360,Idleb,Harim,Dana,Qah,SY07,SY0703,SY070301,C4131,In the Camp,36.725165,36.296273,10200,Earthquake
2023-02-11T00:00:00Z,Agency for Technical Cooperation and Development (ACTED),ACTED,CBRTWG-031,Completed,USD,150,80,442,Aleppo,Jebel Saman,Atareb,Atareb,SY02,SY0200,SY020001,C1022,In the Camp,36.828382,36.137884,12000,Earthquake
2023-02-11T00:00:00Z,Norwegian Refugee Council (NRC),NRC,CBRTWG-032,Completed,USD,150,2000,1504,Idleb,Harim,Harim,Harim,SY07,SY0703,SY070300,C4115,In the Village,36.520746,36.212594,300000,Earthquake
2023-02-11T00:00:00Z,Norwegian Refugee Council (NRC),NRC,CBRTWG-032,Completed,USD,150,2000,1548,Idleb,Harim,Salqin,Salqin,SY07,SY0703,SY070302,C4140,In the Village,36.453694,36.139048,300000,Earthquake
